,adult.smoking.value_2014,adult.smoking.value_2015,adult.smoking.value_2016,adult.smoking.value_2017,children.in.poverty.value_2017,diabetes.value_2014,diabetes.value_2015,diabetes.value_2016,diabetes.value_2017,drug.overdose.deaths.value_2016,drug.overdose.deaths.value_2017,drug.poisoning.deaths.value_2014,drug.poisoning.deaths.value_2015,excessive.drinking.value_2016,excessive.drinking.value_2017,firearm.fatalities.value_2017,frequent.mental.distress.value_2017,frequent.physical.distress.value_2017,injury.deaths.value_2014,injury.deaths.value_2015,injury.deaths.value_2016,injury.deaths.value_2017,mammography.screening.value_2014,mammography.screening.value_2015,median.household.income.value_2016,median.household.income.value_2017,motor.vehicle.crash.deaths.value_2014,motor.vehicle.crash.deaths.value_2015,motor.vehicle.crash.deaths.value_2016,motor.vehicle.crash.deaths.value_2017,physical.inactivity.value_2014,physical.inactivity.value_2015,physical.inactivity.value_2016,physical.inactivity.value_2017,poor.mental.health.days.value_2014,poor.mental.health.days.value_2015,poor.mental.health.days.value_2016,poor.mental.health.days.value_2017,poor.or.fair.health.value_2014,poor.or.fair.health.value_2015,poor.or.fair.health.value_2016,poor.physical.health.days.value_2014,poor.physical.health.days.value_2015,poor.physical.health.days.value_2016,poor.physical.health.days.value_2017,premature.age.adjusted.mortality.value_2014,premature.age.adjusted.mortality.value_2015,premature.age.adjusted.mortality.value_2016,premature.age.adjusted.mortality.value_2017,premature.death.value_2014,premature.death.value_2015,premature.death.value_2016,premature.death.value_2017,preventable.hospital.stays.value_2014,preventable.hospital.stays.value_2015,preventable.hospital.stays.value_2016,preventable.hospital.stays.value_2017,some.college.value_2014,some.college.value_2015,some.college.value_2016,some.college.value_2017,unemployment.value_2017
187,0.115,0.115,0.109,0.125,0.109,0.047,0.047,0.054,0.041,14.86,15.17,13.43,13.43,0.202,0.195,9.0,0.09,0.09,63.5,63.4,65.5,65.9,0.67,0.64,71546.0,72392.0,8.46,7.45,7.06,6.46,0.108,0.097,0.094,0.087,2.8,2.8,3.0,3.0,0.091,0.091,0.101,2.8,2.8,3.0,3.1,221.1,207.5,209.0,213.0,4574.0,4065.0,4065.0,4137.0,35.62,32.56,29.68,29.82,0.827,0.828,0.822,0.826,0.032
188,0.126,0.126,0.123,0.125,0.058,0.055,0.059,0.057,0.055,12.23,12.32,10.41,10.53,0.204,0.191,9.0,0.09,0.08,50.4,49.7,50.4,55.2,0.58,0.64,85885.0,86548.0,7.32,6.06,5.38,5.08,0.153,0.13,0.128,0.118,3.2,3.2,2.8,3.0,0.092,0.092,0.086,3.0,3.0,2.6,2.7,252.4,244.4,228.6,217.9,4966.0,4695.0,4056.0,4482.0,36.38,35.3,28.11,26.48,0.821,0.834,0.844,0.86,0.033
189,0.203,0.203,0.184287377451,0.178976716418,0.223788059701,0.06,0.07,0.106286151961,0.110588656716,17.1416605392,18.0768537313,16.41,13.73,0.167385416667,0.168248358209,13.0742331288,0.118764179104,0.118531343284,104.9,82.9,73.10625,76.4804776119,0.71,0.67,,,21.34,19.39,16.2010729614,15.3734369396,0.156,0.163,0.262983455882,0.251965970149,2.6,2.6,3.79540441176,3.88,0.094,0.094,0.167535539216,2.3,2.3,3.85306372549,3.95426865672,289.2,280.3,384.387438725,391.008661888,5504.0,6292.0,,,31.11,32.75,60.6736134969,56.7150089659,0.538,0.569,0.582615196078,0.586505074627,0.0567134328358
190,0.21,0.21,0.184287377451,0.178976716418,0.223788059701,0.061,0.069,0.106286151961,0.110588656716,17.1416605392,18.0768537313,20.78,27.76,0.167385416667,0.168248358209,13.0742331288,0.118764179104,0.118531343284,95.0,114.2,73.10625,76.4804776119,0.36,0.46,,,22.51,22.56,16.2010729614,15.3734369396,0.198,0.203,0.262983455882,0.251965970149,3.8,3.8,3.79540441176,3.88,0.265,0.265,0.167535539216,5.5,5.5,3.85306372549,3.95426865672,382.6,422.7,384.387438725,391.008661888,8839.0,9363.0,,,48.26,41.25,60.6736134969,56.7150089659,0.537,0.556,0.582615196078,0.586505074627,0.0567134328358
191,0.237,0.237,0.143,0.178976716418,0.223788059701,0.076,0.086,0.091,0.110588656716,11.02,18.0768537313,13.24,15.92,0.16,0.168248358209,13.0742331288,0.118764179104,0.118531343284,94.3,97.6,101.0,76.4804776119,0.62,0.63,45283.0,,23.65,24.81,24.26,15.3734369396,0.208,0.196,0.175,0.251965970149,3.9,3.9,3.5,3.88,0.164,0.164,0.138,3.7,3.7,3.5,3.95426865672,338.5,317.8,339.8,391.008661888,7297.0,6816.0,7791.0,,57.44,44.67,34.11,56.7150089659,0.461,0.472,0.456,0.586505074627,0.0567134328358
192,0.195,0.195,0.164,0.171,0.231,0.059,0.063,0.068,0.06,19.46,18.54,25.42,25.29,0.235,0.225,10.0,0.11,0.1,87.6,84.4,80.4,76.2,0.61,0.62,54872.0,57886.0,10.56,9.13,8.69,8.27,0.143,0.138,0.126,0.118,3.2,3.2,3.4,3.6,0.164,0.164,0.152,3.2,3.2,3.7,3.4,386.2,361.4,350.0,337.9,7880.0,7151.0,6918.0,6694.0,39.02,37.38,31.2,30.54,0.707,0.717,0.722,0.731,0.037
193,0.083,0.083,0.098,0.103,0.033,0.041,0.045,0.054,0.053,9.03,7.85,6.35,7.87,0.183,0.207,10.0,0.08,0.07,33.8,36.2,39.4,43.6,0.71,0.7,107250.0,109926.0,6.68,5.42,4.44,3.95,0.11,0.109,0.111,0.099,2.4,2.4,2.6,2.8,0.067,0.067,0.072,2.2,2.2,2.3,2.2,178.3,169.3,166.1,164.2,3622.0,3538.0,3563.0,3308.0,32.78,32.71,25.7,27.22,0.864,0.863,0.864,0.872,0.031
194,0.095,0.095,0.136,0.131,0.106,0.036,0.041,0.055,0.033,8.9,8.81,7.78,7.55,0.236,0.237,10.0,0.09,0.08,42.9,41.6,41.8,47.6,0.69,0.72,76661.0,75191.0,12.39,10.34,9.95,8.98,0.104,0.094,0.104,0.094,2.1,2.1,2.8,3.0,0.154,0.154,0.108,2.5,2.5,2.8,2.6,147.4,148.7,167.4,161.8,3517.0,3493.0,3808.0,4043.0,22.88,20.03,17.96,13.94,0.653,0.655,0.666,0.676,0.031
195,0.152,0.152,0.184287377451,0.178976716418,0.223788059701,0.051,0.053,0.106286151961,0.110588656716,17.1416605392,18.0768537313,10.15,10.62,0.167385416667,0.168248358209,13.0742331288,0.118764179104,0.118531343284,55.5,64.2,73.10625,76.4804776119,0.51,0.54,,,16.49,13.74,16.2010729614,15.3734369396,0.196,0.18,0.262983455882,0.251965970149,2.9,2.9,3.79540441176,3.88,0.071,0.071,0.167535539216,2.4,2.4,3.85306372549,3.95426865672,255.3,235.0,384.387438725,391.008661888,5071.0,5095.0,,,41.49,33.22,60.6736134969,56.7150089659,0.736,0.715,0.582615196078,0.586505074627,0.0567134328358
196,0.178,0.178,0.154,0.157,0.149,0.059,0.065,0.065,0.07,17.77,19.82,13.41,14.12,0.165,0.181,15.0,0.1,0.1,62.9,69.1,71.4,74.9,0.55,0.55,59286.0,60050.0,9.88,9.19,9.77,10.41,0.172,0.167,0.162,0.154,3.4,3.4,3.1,3.4,0.12,0.12,0.112,3.5,3.5,3.0,3.5,296.2,291.4,293.2,302.2,6314.0,6169.0,6191.0,6232.0,42.51,37.0,30.93,31.89,0.729,0.74,0.743,0.747,0.046
